"","cycle","st_cd_fips","party","total_ads","stations","attack_ad_pct"
"542",2010,"3624","D",6761,86522,0.596065670758763
"543",2010,"3624","R",6114,70248,0.362773961400065
"544",2010,"3625","D",3874,35414,0.371966959215281
"545",2010,"3625","R",1438,9767,0.385952712100139
"546",2010,"3627","D",415,2490,0
"547",2010,"3627","R",139,387,0.892086330935252
"548",2010,"3629","D",354,2478,0
"549",2010,"3629","R",1318,11788,0
"550",2010,"3702","D",1377,9280,0.519244734931009
"551",2010,"3702","R",435,2170,0.747126436781609
"552",2010,"3703","R",6,12,0
"553",2010,"3704","D",393,1572,0.620865139949109
"554",2010,"3704","R",218,718,0.348623853211009
"555",2010,"3705","R",82,164,0
"556",2010,"3706","R",39,57,0
"557",2010,"3707","D",746,3256,0.31769436997319
"558",2010,"3708","D",3105,35969,0.34621578099839
"559",2010,"3708","R",2053,13234,0.722357525572333
"560",2010,"3709","R",26,52,0
"561",2010,"3710","R",90,90,0
"562",2010,"3711","D",2089,11218,0.461943513642891
"563",2010,"3711","R",2200,7455,0.682272727272727
"564",2010,"3713","D",354,1718,NA
"565",2010,"3801","D",8798,67534,0.663105251193453
"566",2010,"3801","R",8657,69027,0.685110315351738
"567",2010,"3901","D",1769,8716,0.213114754098361
"568",2010,"3901","R",1765,7739,0.428328611898017
"569",2010,"3902","D",55,159,0
"570",2010,"3902","R",163,815,0
"571",2010,"3906","D",2445,17321,0.583231083844581
"572",2010,"3906","R",1570,9216,0.832484076433121
"573",2010,"3908","D",189,902,0.386243386243386
"574",2010,"3909","D",1364,5170,0.324780058651026
"575",2010,"3909","R",2988,14817,0
"576",2010,"3910","D",59,295,0
"577",2010,"3912","D",1185,4680,0.428691983122363
"578",2010,"3912","R",1412,6240,0
"579",2010,"3913","D",2286,13079,0.878827646544182
"580",2010,"3913","R",953,4638,0.42707240293809
"581",2010,"3915","D",1563,6252,0.660908509277031
"582",2010,"3915","R",1874,9213,0.558697972251868
"583",2010,"3916","D",4204,24166,0.778782112274025
"584",2010,"3916","R",3093,14983,0.706110572259942
"585",2010,"3918","D",3685,26826,0.802985074626866
"586",2010,"3918","R",1762,9420,0.59988649262202
"587",2010,"4001","R",253,1012,0
"588",2010,"4002","D",4131,47416,0
"589",2010,"4002","R",157,1019,0
"590",2010,"4005","D",803,2614,0.0697384806973848
"591",2010,"4005","R",3511,16531,0.0193677015095414
"592",2010,"4101","D",664,3984,0
"593",2010,"4101","R",574,2296,1
"594",2010,"4102","R",441,4410,0
"595",2010,"4103","D",263,1001,0
"596",2010,"4105","D",3061,17580,0.59719046063378
"597",2010,"4105","R",3334,21168,0.879424115176965
"598",2010,"4203","D",1868,12997,0.305674518201285
"599",2010,"4203","R",1739,14080,0.379528464634848
"600",2010,"4204","D",1665,9145,0
"601",2010,"4204","R",1117,5052,0.47538048343778
"602",2010,"4206","D",209,939,0
"603",2010,"4207","D",939,5420,0
"604",2010,"4207","R",1160,6412,0.630172413793103
"605",2010,"4208","D",2977,17682,0.760833053409473
"606",2010,"4208","R",653,3918,0.316998468606432
"607",2010,"4209","D",7,7,0
"608",2010,"4210","D",2690,12313,0.579553903345725
"609",2010,"4210","R",1770,7128,0.763276836158192
"610",2010,"4211","D",2365,9961,0.567441860465116
"611",2010,"4211","R",1984,8170,0.751008064516129
"612",2010,"4212","D",7340,70385,0.478610354223433
"613",2010,"4212","R",7083,55133,0.669490328956657
"614",2010,"4213","D",579,2895,0
"615",2010,"4215","D",564,2481,1
"616",2010,"4215","R",346,1804,0.393063583815029
"617",2010,"4216","D",92,92,0.380434782608696
